				In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone	In zone
High	Trial     5	C4	0:22:00-0:23:00	60	1	60	100	19.96	2	39.92	66.5333	10.04	2	20.08	33.4667
High	Trial     5	C4	0:23:00-0:24:00	29.98	2	59.96	99.9333	1.14667	6	6.88	11.4667	13.27	4	53.08	88.4667
High	Trial     5	C4	0:24:00-0:25:00	27.92	2	55.84	93.0667	1.97	12	23.64	39.4	3.22	10	32.2	53.6667
High	Trial     5	C4	0:25:00-0:26:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     5	C4	0:26:00-0:27:00	60	1	60	100	2.55667	12	30.68	51.1333	2.65818	11	29.24	48.7333
High	Trial     5	C4	0:27:00-0:28:00	60	1	60	100	2.76	8	22.08	36.8	4.74	8	37.92	63.2
High	Trial     5	C4	0:28:00-0:29:00	60	1	60	100	5.5	6	33	55	3.85714	7	27	45
High	Trial     5	C4	0:29:00-0:30:00	60	1	60	100	6.712	5	33.56	55.9333	4.40667	6	26.44	44.0667
High	Trial     5	C4	0:30:00-0:31:00	29.84	2	59.68	99.4667	4.02	12	48.24	80.4	1.04	11	11.44	19.0667
High	Trial     5	C4	0:31:00-0:32:00	60	1	60	100	2.09524	21	44	73.3333	0.798	20	15.96	26.6
High	Trial     5	C4	0:32:00-0:33:00	60	1	60	100	4.43	12	53.16	88.6	0.621818	11	6.84	11.4
High	Trial     5	C4	0:33:00-0:34:00	60	1	60	100	8.44667	6	50.68	84.4667	1.864	5	9.32	15.5333
High	Trial     5	C4	0:34:00-0:35:00	60	1	60	100	10.84	5	54.2	90.3333	1.45	4	5.8	9.66667
High	Trial     5	C4	0:35:00-0:36:00	28.16	2	56.32	93.8667	2.30857	7	16.16	26.9333	6.69333	6	40.16	66.9333
High	Trial     5	C4	0:36:00-0:37:00	19.9333	3	59.8	99.6667	1.25333	3	3.76	6.26667	28.02	2	56.04	93.4
High	Trial     5	C4	0:37:00-0:38:00	29.48	2	58.96	98.2667	18.6	3	55.8	93	1.58	2	3.16	5.26667
High	Trial     5	C4	0:38:00-0:39:00	60	1	60	100	29.18	2	58.36	97.2667	0.82	2	1.64	2.73333
High	Trial     5	C4	0:39:00-0:40:00	29.98	2	59.96	99.9333	13.6933	3	41.08	68.4667	9.44	2	18.88	31.4667
High	Trial     5	C4	0:40:00-0:41:00	60	1	60	100	2.42	10	24.2	40.3333	3.576	10	35.76	59.6
High	Trial     5	C4	0:41:00-0:42:00	60	1	60	100	11.56	4	46.24	77.0667	3.44	4	13.76	22.9333
High	Trial     5	C4	0:42:00-0:43:00	60	1	60	100	5.86667	6	35.2	58.6667	4.13333	6	24.8	41.3333
High	Trial     5	C4	0:43:00-0:44:00	60	1	60	100	7	4	28	46.6667	10.6533	3	31.96	53.2667
High	Trial     5	C4	0:44:00-0:45:00	60	1	60	100	5.72667	6	34.36	57.2667	5.128	5	25.64	42.7333
High	Trial     6	A4	Start-0:01:00	60	1	60	100	10.9467	3	32.84	54.7333	9.05333	3	27.16	45.2667
High	Trial     6	A4	0:01:00-0:02:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	A4	0:02:00-0:03:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	A4	0:03:00-0:04:00	60	1	60	100	16.4267	3	49.28	82.1333	5.36	2	10.72	17.8667
High	Trial     6	A4	0:04:00-0:05:00	60	1	60	100	9.64	5	48.2	80.3333	2.95	4	11.8	19.6667
High	Trial     6	A4	0:05:00-0:06:00	60	1	60	100	28.44	2	56.88	94.8	3.12	1	3.12	5.2
High	Trial     6	A4	0:06:00-0:07:00	60	1	60	100	18.0267	3	54.08	90.1333	1.97333	3	5.92	9.86667
High	Trial     6	A4	0:07:00-0:08:00	60	1	60	100	15.6	2	31.2	52	14.4	2	28.8	48
High	Trial     6	A4	0:08:00-0:09:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	A4	0:09:00-0:10:00	60	1	60	100	32.56	1	32.56	54.2667	27.44	1	27.44	45.7333
High	Trial     6	A4	0:10:00-0:11:00	60	1	60	100	1.52	1	1.52	2.53333	58.48	1	58.48	97.4667
High	Trial     6	A4	0:11:00-0:12:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	A4	0:12:00-0:13:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	A4	0:13:00-0:14:00	60	1	60	100	29.86	2	59.72	99.5333	0.28	1	0.28	0.466667
High	Trial     6	A4	0:14:00-0:15:00	29.96	2	59.92	99.8667	29.96	2	59.92	99.8667	NA	0	0	0
High	Trial     6	A4	0:15:00-0:16:00	60	1	60	100	2.166	20	43.32	72.2	0.877895	19	16.68	27.8
High	Trial     6	A4	0:16:00-0:17:00	60	1	60	100	2.384	20	47.68	79.4667	0.682222	18	12.28	20.4667
High	Trial     6	A4	0:17:00-0:18:00	60	1	60	100	3.40857	14	47.72	79.5333	0.877143	14	12.28	20.4667
High	Trial     6	A4	0:18:00-0:19:00	60	1	60	100	2.44235	17	41.52	69.2	1.08706	17	18.48	30.8
High	Trial     6	A4	0:19:00-0:20:00	60	1	60	100	4.75636	11	52.32	87.2	0.764	10	7.64	12.7333
High	Trial     6	A4	0:20:00-0:21:00	60	1	60	100	10.5	4	42	70	4.5	4	18	30
High	Trial     6	A4	0:21:00-0:22:00	60	1	60	100	3.42222	9	30.8	51.3333	3.24	9	29.16	48.6
High	Trial     6	A4	0:22:00-0:23:00	60	1	60	100	16.88	1	16.88	28.1333	43.12	1	43.12	71.8667
High	Trial     6	A4	0:23:00-0:24:00	29.98	2	59.96	99.9333	29.98	2	59.96	99.9333	NA	0	0	0
High	Trial     6	A4	0:24:00-0:25:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	A4	0:25:00-0:26:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	A4	0:26:00-0:27:00	60	1	60	100	27.6	2	55.2	92	2.4	2	4.8	8
High	Trial     6	A4	0:27:00-0:28:00	60	1	60	100	50.24	1	50.24	83.7333	9.76	1	9.76	16.2667
High	Trial     6	A4	0:28:00-0:29:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	A4	0:29:00-0:30:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	A4	0:30:00-0:31:00	60	1	60	100	1.83818	22	40.44	67.4	0.931429	21	19.56	32.6
High	Trial     6	A4	0:31:00-0:32:00	60	1	60	100	3.55077	13	46.16	76.9333	1.15333	12	13.84	23.0667
High	Trial     6	A4	0:32:00-0:33:00	60	1	60	100	4.15667	12	49.88	83.1333	0.92	11	10.12	16.8667
High	Trial     6	A4	0:33:00-0:34:00	60	1	60	100	4.98182	11	54.8	91.3333	0.516	10	5.16	8.6
High	Trial     6	A4	0:34:00-0:35:00	60	1	60	100	8.17714	7	57.24	95.4	0.46	6	2.76	4.6
High	Trial     6	A4	0:35:00-0:36:00	60	1	60	100	2.74353	17	46.64	77.7333	0.948571	14	13.28	22.1333
High	Trial     6	A4	0:36:00-0:37:00	60	1	60	100	19.96	3	59.88	99.8	0.06	2	0.12	0.2
High	Trial     6	A4	0:37:00-0:38:00	60	1	60	100	52.48	1	52.48	87.4667	7.52	1	7.52	12.5333
High	Trial     6	A4	0:38:00-0:39:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	A4	0:39:00-0:40:00	60	1	60	100	11.88	1	11.88	19.8	48.12	1	48.12	80.2
High	Trial     6	A4	0:40:00-0:41:00	60	1	60	100	11.1333	3	33.4	55.6667	13.3	2	26.6	44.3333
High	Trial     6	A4	0:41:00-0:42:00	60	1	60	100	22.68	2	45.36	75.6	14.6	1	14.6	24.3333
High	Trial     6	A4	0:42:00-0:43:00	60	1	60	100	17.26	2	34.52	57.5333	12.74	2	25.48	42.4667
High	Trial     6	A4	0:43:00-0:44:00	60	1	60	100	2.35429	7	16.48	27.4667	5.43	8	43.44	72.4
High	Trial     6	A4	0:44:00-0:45:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	B2	Start-0:01:00	60	1	60	100	16.4	3	49.2	82	5.4	2	10.8	18
High	Trial     6	B2	0:01:00-0:02:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	B2	0:02:00-0:03:00	60	1	60	100	24	1	24	40	36	1	36	60
High	Trial     6	B2	0:03:00-0:04:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	B2	0:04:00-0:05:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	B2	0:05:00-0:06:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	B2	0:06:00-0:07:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	B2	0:07:00-0:08:00	60	1	60	100	4.16	1	4.16	6.93333	55.84	1	55.84	93.0667
High	Trial     6	B2	0:08:00-0:09:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	B2	0:09:00-0:10:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	B2	0:10:00-0:11:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	B2	0:11:00-0:12:00	60	1	60	100	42.88	1	42.88	71.4667	17.12	1	17.12	28.5333
High	Trial     6	B2	0:12:00-0:13:00	60	1	60	100	9.56	4	38.24	63.7333	5.44	4	21.76	36.2667
High	Trial     6	B2	0:13:00-0:14:00	60	1	60	100	13.14	2	26.28	43.8	33.72	1	33.72	56.2
High	Trial     6	B2	0:14:00-0:15:00	29.96	2	59.92	99.8667	9.8	3	29.4	49	15.26	2	30.52	50.8667
High	Trial     6	B2	0:15:00-0:16:00	60	1	60	100	1.24571	28	34.88	58.1333	0.866207	29	25.12	41.8667
High	Trial     6	B2	0:16:00-0:17:00	60	1	60	100	2.32632	19	44.2	73.6667	0.831579	19	15.8	26.3333
High	Trial     6	B2	0:17:00-0:18:00	60	1	60	100	1.825	24	43.8	73	0.675	24	16.2	27
High	Trial     6	B2	0:18:00-0:19:00	60	1	60	100	1.82609	23	42	70	0.782609	23	18	30
High	Trial     6	B2	0:19:00-0:20:00	60	1	60	100	1.7504	25	43.76	72.9333	0.6464	25	16.16	26.9333
High	Trial     6	B2	0:20:00-0:21:00	60	1	60	100	4.21333	9	37.92	63.2	2.76	8	22.08	36.8
High	Trial     6	B2	0:21:00-0:22:00	60	1	60	100	7.65	4	30.6	51	9.8	3	29.4	49
High	Trial     6	B2	0:22:00-0:23:00	60	1	60	100	20.5	2	41	68.3333	9.48	2	18.96	31.6
High	Trial     6	B2	0:23:00-0:24:00	29.98	2	59.96	99.9333	5.89333	3	17.68	29.4667	8.456	5	42.28	70.4667
High	Trial     6	B2	0:24:00-0:25:00	60	1	60	100	20.88	1	20.88	34.8	39.12	1	39.12	65.2
High	Trial     6	B2	0:25:00-0:26:00	60	1	60	100	18.08	1	18.08	30.1333	41.92	1	41.92	69.8667
High	Trial     6	B2	0:26:00-0:27:00	60	1	60	100	59.24	1	59.24	98.7333	0.38	2	0.76	1.26667
High	Trial     6	B2	0:27:00-0:28:00	60	1	60	100	15.04	1	15.04	25.0667	44.96	1	44.96	74.9333
High	Trial     6	B2	0:28:00-0:29:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	B2	0:29:00-0:30:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	B2	0:30:00-0:31:00	60	1	60	100	1.86316	19	35.4	59	1.36667	18	24.6	41
High	Trial     6	B2	0:31:00-0:32:00	60	1	60	100	2.015	24	48.36	80.6	0.504348	23	11.6	19.3333
High	Trial     6	B2	0:32:00-0:33:00	60	1	60	100	3.62154	13	47.08	78.4667	1.07667	12	12.92	21.5333
High	Trial     6	B2	0:33:00-0:34:00	60	1	60	100	1.3776	25	34.44	57.4	1.0208	25	25.52	42.5333
High	Trial     6	B2	0:34:00-0:35:00	60	1	60	100	2.968	15	44.52	74.2	1.10571	14	15.48	25.8
High	Trial     6	B2	0:35:00-0:36:00	60	1	60	100	5.09714	7	35.68	59.4667	4.05333	6	24.32	40.5333
High	Trial     6	B2	0:36:00-0:37:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	B2	0:37:00-0:38:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	B2	0:38:00-0:39:00	60	1	60	100	17.1	2	34.2	57	12.9	2	25.8	43
High	Trial     6	B2	0:39:00-0:40:00	60	1	60	100	35.36	1	35.36	58.9333	24.64	1	24.64	41.0667
High	Trial     6	B2	0:40:00-0:41:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	B2	0:41:00-0:42:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	B2	0:42:00-0:43:00	60	1	60	100	10.25	4	41	68.3333	6.33333	3	19	31.6667
High	Trial     6	B2	0:43:00-0:44:00	60	1	60	100	29.96	2	59.92	99.8667	0.08	1	0.08	0.133333
High	Trial     6	B2	0:44:00-0:45:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	C4	Start-0:01:00	30.2	1	30.2	50.3333	NA	0	0	0	30.2	1	30.2	50.3333
High	Trial     6	C4	0:01:00-0:02:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	C4	0:02:00-0:03:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	C4	0:03:00-0:04:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	C4	0:04:00-0:05:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	C4	0:05:00-0:06:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	C4	0:06:00-0:07:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	C4	0:07:00-0:08:00	60	1	60	100	35.12	1	35.12	58.5333	24.88	1	24.88	41.4667
High	Trial     6	C4	0:08:00-0:09:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	C4	0:09:00-0:10:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	C4	0:10:00-0:11:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	C4	0:11:00-0:12:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	C4	0:12:00-0:13:00	60	1	60	100	31.96	1	31.96	53.2667	28.04	1	28.04	46.7333
High	Trial     6	C4	0:13:00-0:14:00	60	1	60	100	12.68	1	12.68	21.1333	47.32	1	47.32	78.8667
High	Trial     6	C4	0:14:00-0:15:00	29.96	2	59.92	99.8667	26.4	2	52.8	88	7.12	1	7.12	11.8667
High	Trial     6	C4	0:15:00-0:16:00	60	1	60	100	1.1329	31	35.12	58.5333	0.802581	31	24.88	41.4667
High	Trial     6	C4	0:16:00-0:17:00	7.3	8	58.4	97.3333	2.7925	16	44.68	74.4667	1.715	8	13.72	22.8667
High	Trial     6	C4	0:17:00-0:18:00	26.1	2	52.2	87	0.983077	26	25.56	42.6	1.10667	24	26.56	44.2667
High	Trial     6	C4	0:18:00-0:19:00	60	1	60	100	0.915556	27	24.72	41.2	1.35538	26	35.24	58.7333
High	Trial     6	C4	0:19:00-0:20:00	19.92	3	59.76	99.6	0.748571	42	31.44	52.4	0.726316	38	27.6	46
High	Trial     6	C4	0:20:00-0:21:00	60	1	60	100	1.72	3	5.16	8.6	13.71	4	54.84	91.4
High	Trial     6	C4	0:21:00-0:22:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	C4	0:22:00-0:23:00	60	1	60	100	0.24	1	0.24	0.4	29.88	2	59.76	99.6
High	Trial     6	C4	0:23:00-0:24:00	29.98	2	59.96	99.9333	NA	0	0	0	29.98	2	59.96	99.9333
High	Trial     6	C4	0:24:00-0:25:00	60	1	60	100	11.4	1	11.4	19	24.3	2	48.6	81
High	Trial     6	C4	0:25:00-0:26:00	60	1	60	100	26.2	1	26.2	43.6667	33.8	1	33.8	56.3333
High	Trial     6	C4	0:26:00-0:27:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	C4	0:27:00-0:28:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	C4	0:28:00-0:29:00	60	1	60	100	15.12	3	45.36	75.6	7.32	2	14.64	24.4
High	Trial     6	C4	0:29:00-0:30:00	60	1	60	100	60	1	60	100	NA	0	0	0
High	Trial     6	C4	0:30:00-0:31:00	14.74	4	58.96	98.2667	3.54154	13	46.04	76.7333	1.61	8	12.88	21.4667
High	Trial     6	C4	0:31:00-0:32:00	60	1	60	100	6.576	5	32.88	54.8	5.424	5	27.12	45.2
High	Trial     6	C4	0:32:00-0:33:00	19.8133	3	59.44	99.0667	0.935172	29	27.12	45.2	1.19704	27	32.32	53.8667
High	Trial     6	C4	0:33:00-0:34:00	29.74	2	59.48	99.1333	0.737931	29	21.4	35.6667	1.46	26	37.96	63.2667
High	Trial     6	C4	0:34:00-0:35:00	60	1	60	100	0.655385	26	17.04	28.4	1.78	24	42.72	71.2
High	Trial     6	C4	0:35:00-0:36:00	60	1	60	100	1.54	14	21.56	35.9333	2.73714	14	38.32	63.8667
High	Trial     6	C4	0:36:00-0:37:00	60	1	60	100	NA	0	0	0	60	1	60	100
High	Trial     6	C4	0:37:00-0:38:00	19.94	2	39.88	66.4667	1.5	2	3	5	36.88	1	36.88	61.4667
High	Trial     6	C4	0:38:00-0:39:00	47.4	1	47.4	79	23.68	2	47.36	78.9333	0.04	1	0.04	0.0666667
High	Trial     6	C4	0:39:00-0:40:00	60	1	60	100	5.33333	3	16	26.6667	22	2	44	73.3333
High	Trial     6	C4	0:40:00-0:41:00	60	1	60	100	31.96	1	31.96	53.2667	28.04	1	28.04	46.7333
High	Trial     6	C4	0:41:00-0:42:00	60	1	60	100	6.93333	3	20.8	34.6667	13.0667	3	39.2	65.3333
High	Trial     6	C4	0:42:00-0:43:00	60	1	60	100	8.46667	3	25.4	42.3333	17.3	2	34.6	57.6667
High	Trial     6	C4	0:43:00-0:44:00	15	3	45	75	8.88	5	44.4	74	0.3	2	0.6	1
High	Trial     6	C4	0:44:00-0:45:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	Start-0:01:00	47.36	1	47.36	78.9333	46.6	1	46.6	77.6667	0.76	1	0.76	1.26667
Low	Trial     1	A3	0:01:00-0:02:00	60	1	60	100	3.725	8	29.8	49.6667	4.30857	7	30.16	50.2667
Low	Trial     1	A3	0:02:00-0:03:00	60	1	60	100	2.18667	9	19.68	32.8	5.04	8	40.32	67.2
Low	Trial     1	A3	0:03:00-0:04:00	60	1	60	100	3.85	8	30.8	51.3333	4.17143	7	29.2	48.6667
Low	Trial     1	A3	0:04:00-0:05:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:05:00-0:06:00	29.96	2	59.92	99.8667	4.78	8	38.24	63.7333	1.78667	12	21.44	35.7333
Low	Trial     1	A3	0:06:00-0:07:00	60	1	60	100	10.672	5	53.36	88.9333	1.66	4	6.64	11.0667
Low	Trial     1	A3	0:07:00-0:08:00	29.98	2	59.96	99.9333	12.36	4	49.44	82.4	3.50667	3	10.52	17.5333
Low	Trial     1	A3	0:08:00-0:09:00	29.96	2	59.92	99.8667	14.0533	3	42.16	70.2667	8.88	2	17.76	29.6
Low	Trial     1	A3	0:09:00-0:10:00	29.94	2	59.88	99.8	29.94	2	59.88	99.8	NA	0	0	0
Low	Trial     1	A3	0:10:00-0:11:00	2.272	5	11.36	18.9333	2.272	5	11.36	18.9333	NA	0	0	0
Low	Trial     1	A3	0:11:00-0:12:00	0.16	3	0.48	0.8	0.16	3	0.48	0.8	NA	0	0	0
Low	Trial     1	A3	0:12:00-0:13:00	0.204	10	2.04	3.4	0.204	10	2.04	3.4	NA	0	0	0
Low	Trial     1	A3	0:13:00-0:14:00	0.225714	14	3.16	5.26667	0.225714	14	3.16	5.26667	NA	0	0	0
Low	Trial     1	A3	0:14:00-0:15:00	14.54	2	29.08	48.4667	14.54	2	29.08	48.4667	NA	0	0	0
Low	Trial     1	A3	0:15:00-0:16:00	60	1	60	100	29.9	2	59.8	99.6667	0.2	1	0.2	0.333333
Low	Trial     1	A3	0:16:00-0:17:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:17:00-0:18:00	60	1	60	100	8.83333	6	53	88.3333	1.4	5	7	11.6667
Low	Trial     1	A3	0:18:00-0:19:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:19:00-0:20:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:20:00-0:21:00	60	1	60	100	2.02667	12	24.32	40.5333	3.24364	11	35.68	59.4667
Low	Trial     1	A3	0:21:00-0:22:00	60	1	60	100	1.3225	16	21.16	35.2667	2.58933	15	38.84	64.7333
Low	Trial     1	A3	0:22:00-0:23:00	60	1	60	100	2.08267	15	31.24	52.0667	2.05429	14	28.76	47.9333
Low	Trial     1	A3	0:23:00-0:24:00	60	1	60	100	8.37333	6	50.24	83.7333	1.952	5	9.76	16.2667
Low	Trial     1	A3	0:24:00-0:25:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:25:00-0:26:00	60	1	60	100	19.4	3	58.2	97	0.9	2	1.8	3
Low	Trial     1	A3	0:26:00-0:27:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:27:00-0:28:00	13.7733	3	41.32	68.8667	13.7733	3	41.32	68.8667	NA	0	0	0
Low	Trial     1	A3	0:28:00-0:29:00	0.16	1	0.16	0.266667	0.16	1	0.16	0.266667	NA	0	0	0
Low	Trial     1	A3	0:29:00-0:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Low	Trial     1	A3	0:30:00-0:31:00	12.67	4	50.68	84.4667	6.29	8	50.32	83.8667	0.09	4	0.36	0.6
Low	Trial     1	A3	0:31:00-0:32:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:32:00-0:33:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:33:00-0:34:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:34:00-0:35:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:35:00-0:36:00	29.94	2	59.88	99.8	6.33333	6	38	63.3333	5.47	4	21.88	36.4667
Low	Trial     1	A3	0:36:00-0:37:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:37:00-0:38:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:38:00-0:39:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:39:00-0:40:00	29.96	2	59.92	99.8667	29.96	2	59.92	99.8667	NA	0	0	0
Low	Trial     1	A3	0:40:00-0:41:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:41:00-0:42:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:42:00-0:43:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	A3	0:43:00-0:44:00	20.38	2	40.76	67.9333	20.38	2	40.76	67.9333	NA	0	0	0
Low	Trial     1	A3	0:44:00-0:45:00	0.186667	3	0.56	0.933333	0.186667	3	0.56	0.933333	NA	0	0	0
Low	Trial     1	B3	Start-0:01:00	60	1	60	100	24.7	2	49.4	82.3333	10.6	1	10.6	17.6667
Low	Trial     1	B3	0:01:00-0:02:00	60	1	60	100	4.53	8	36.24	60.4	3.39429	7	23.76	39.6
Low	Trial     1	B3	0:02:00-0:03:00	60	1	60	100	2.65333	3	7.96	13.2667	17.3467	3	52.04	86.7333
Low	Trial     1	B3	0:03:00-0:04:00	60	1	60	100	20.18	2	40.36	67.2667	9.82	2	19.64	32.7333
Low	Trial     1	B3	0:04:00-0:05:00	60	1	60	100	25.48	2	50.96	84.9333	4.52	2	9.04	15.0667
Low	Trial     1	B3	0:05:00-0:06:00	29.96	2	59.92	99.8667	7.8	2	15.6	26	11.08	4	44.32	73.8667
Low	Trial     1	B3	0:06:00-0:07:00	60	1	60	100	25.82	2	51.64	86.0667	4.18	2	8.36	13.9333
Low	Trial     1	B3	0:07:00-0:08:00	29.98	2	59.96	99.9333	29.98	2	59.96	99.9333	NA	0	0	0
Low	Trial     1	B3	0:08:00-0:09:00	29.96	2	59.92	99.8667	29.96	2	59.92	99.8667	NA	0	0	0
Low	Trial     1	B3	0:09:00-0:10:00	29.94	2	59.88	99.8	29.94	2	59.88	99.8	NA	0	0	0
Low	Trial     1	B3	0:10:00-0:11:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	B3	0:11:00-0:12:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	B3	0:12:00-0:13:00	29.98	2	59.96	99.9333	29.98	2	59.96	99.9333	NA	0	0	0
Low	Trial     1	B3	0:13:00-0:14:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	B3	0:14:00-0:15:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	B3	0:15:00-0:16:00	60	1	60	100	10.608	5	53.04	88.4	1.74	4	6.96	11.6
Low	Trial     1	B3	0:16:00-0:17:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	B3	0:17:00-0:18:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	B3	0:18:00-0:19:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	B3	0:19:00-0:20:00	60	1	60	100	4.67	4	18.68	31.1333	10.33	4	41.32	68.8667
Low	Trial     1	B3	0:20:00-0:21:00	60	1	60	100	12.44	3	37.32	62.2	7.56	3	22.68	37.8
Low	Trial     1	B3	0:21:00-0:22:00	60	1	60	100	4.54	8	36.32	60.5333	3.37714	7	23.64	39.4
Low	Trial     1	B3	0:22:00-0:23:00	60	1	60	100	6.72	6	40.32	67.2	4.91	4	19.64	32.7333
Low	Trial     1	B3	0:23:00-0:24:00	60	1	60	100	25.96	1	25.96	43.2667	34.04	1	34.04	56.7333
Low	Trial     1	B3	0:24:00-0:25:00	60	1	60	100	8.22	2	16.44	27.4	14.52	3	43.56	72.6
Low	Trial     1	B3	0:25:00-0:26:00	60	1	60	100	6.824	5	34.12	56.8667	5.176	5	25.88	43.1333
Low	Trial     1	B3	0:26:00-0:27:00	60	1	60	100	2.88444	9	25.96	43.2667	4.255	8	34.04	56.7333
Low	Trial     1	B3	0:27:00-0:28:00	60	1	60	100	7.82	4	31.28	52.1333	9.57333	3	28.72	47.8667
Low	Trial     1	B3	0:28:00-0:29:00	60	1	60	100	3.47556	9	31.28	52.1333	3.19111	9	28.72	47.8667
Low	Trial     1	B3	0:29:00-0:30:00	60	1	60	100	2.19143	14	30.68	51.1333	2.09429	14	29.32	48.8667
Low	Trial     1	B3	0:30:00-0:31:00	60	1	60	100	19.9467	3	59.84	99.7333	0.08	2	0.16	0.266667
Low	Trial     1	B3	0:31:00-0:32:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	B3	0:32:00-0:33:00	60	1	60	100	11.48	5	57.4	95.6667	0.65	4	2.6	4.33333
Low	Trial     1	B3	0:33:00-0:34:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	B3	0:34:00-0:35:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	B3	0:35:00-0:36:00	29.94	2	59.88	99.8	5.5	8	44	73.3333	2.64667	6	15.88	26.4667
Low	Trial     1	B3	0:36:00-0:37:00	60	1	60	100	60	1	60	100	NA	0	0	0
Low	Trial     1	B3	0:37:00-0:38:00	49.28	1	49.28	82.1333	49.28	1	49.28	82.1333	NA	0	0	0
