					Velocity	Cruising	Cruising	Bursting	Bursting	Freezing	Freezing	Turn angle	Meander	Angular velocity	Rotation	Rotation 2
High	Trial     4	C2	0:31:00-0:32:00	In Arena	8.29388	302	13.88	11	2	40	13.4	80.1582	10.994	2003.95	2	6
High	Trial     4	C2	0:32:00-0:33:00	In Arena	9.03915	521	22.76	20	2.36	58	13.12	77.6066	5.17691	1940.17	3	2
High	Trial     4	C2	0:33:00-0:34:00	In Arena	6.35833	263	12.48	11	2.24	42	29.48	105.622	16.1341	2640.54	8	7
High	Trial     4	C2	0:34:00-0:35:00	In Arena	6.16045	261	12.44	14	2.32	11	37.36	111.764	20.402	2794.09	2	3
High	Trial     4	C2	0:35:00-0:36:00	In Arena	6.75587	348	15.08	12	1.48	58	25.4	90.1943	17.0604	2254.86	7	14
High	Trial     4	C2	0:36:00-0:37:00	In Arena	4.45205	147	6.64	4	0.48	50	28.88	113.763	24.468	2844.07	7	13
High	Trial     4	C2	0:37:00-0:38:00	In Arena	3.3639	139	6.4	8	0.96	37	48.2	110.297	42.2361	2757.43	6	7
High	Trial     4	C2	0:38:00-0:39:00	In Arena	3.65658	151	6.76	8	0.72	31	41.36	101.322	39.9716	2533.05	6	5
High	Trial     4	C2	0:39:00-0:40:00	In Arena	2.67024	116	4.92	4	0.44	24	51.04	108.813	49.5796	2720.34	1	2
High	Trial     4	C2	0:40:00-0:41:00	In Arena	3.40019	144	6.84	8	1.32	31	48.04	99.3136	41.9132	2482.84	3	3
High	Trial     4	C2	0:41:00-0:42:00	In Arena	2.66517	85	4.84	6	1.52	27	52.2	115.048	50.1351	2876.2	11	3
High	Trial     4	C2	0:42:00-0:43:00	In Arena	2.73649	86	4.76	7	1.48	25	52.24	112.144	45.6543	2803.6	6	5
High	Trial     4	C2	0:43:00-0:44:00	In Arena	2.2644	68	3.48	4	0.8	14	54	112.301	42.2721	2807.52	0	3
High	Trial     4	C2	0:44:00-0:45:00	In Arena	4.33617	289	11.84	2	0.36	132	38.64	124.521	21.3791	3113.02	9	73
High	Trial     5	A1	Start-0:01:00	In Arena	2.7382	81	4.84	9	1.8	18	52.24	107.25	49.7149	2681.26	2	2
High	Trial     5	A1	0:01:00-0:02:00	In Arena	2.16045	57	3.36	7	1.16	13	54.52	107.668	44.4293	2691.7	3	7
High	Trial     5	A1	0:02:00-0:03:00	In Arena	2.2961	58	3.32	6	1.12	14	54.52	109.921	49.6421	2748.03	3	2
High	Trial     5	A1	0:03:00-0:04:00	In Arena	2.39562	70	3.64	9	1.16	16	53.96	112.763	43.0046	2819.08	6	3
High	Trial     5	A1	0:04:00-0:05:00	In Arena	0.864918	5	0.4	1	0.2	2	59.44	118.185	60.9965	2954.63	0	0
High	Trial     5	A1	0:05:00-0:06:00	In Arena	2.12303	42	1.92	3	0.32	16	56.88	113.793	42.3985	2844.82	6	4
High	Trial     5	A1	0:06:00-0:07:00	In Arena	1.26001	30	1.68	2	0.48	9	57.2	120.77	72.942	3019.26	0	3
High	Trial     5	A1	0:07:00-0:08:00	In Arena	1.307	34	1.76	3	0.52	12	56.96	123.415	66.1347	3085.38	1	2
High	Trial     5	A1	0:08:00-0:09:00	In Arena	1.49857	37	1.72	2	0.28	10	56.92	113.851	55.9164	2846.29	3	0
High	Trial     5	A1	0:09:00-0:10:00	In Arena	1.0318	20	0.92	4	0.28	3	58.32	119.679	60.1249	2991.99	0	0
High	Trial     5	A1	0:10:00-0:11:00	In Arena	1.69601	27	1.84	4	0.8	5	57.12	118.793	55.9327	2969.83	3	0
High	Trial     5	A1	0:11:00-0:12:00	In Arena	0.928506	0	0	0	0	1	60	120.306	58.4836	3007.64	0	2
High	Trial     5	A1	0:12:00-0:13:00	In Arena	1.06742	8	0.68	2	0.36	2	59.04	116.945	58.2304	2923.62	0	1
High	Trial     5	A1	0:13:00-0:14:00	In Arena	2.27372	54	3.12	4	1	17	55.08	110.939	43.3413	2773.47	4	9
High	Trial     5	A1	0:14:00-0:15:00	In Arena	1.4782	30	1.4	2	0.28	15	57.68	115.527	50.9584	2888.16	2	6
High	Trial     5	A1	0:15:00-0:16:00	In Arena	7.16748	300	16.16	18	4.36	57	33.04	93.54	17.4755	2338.5	10	7
High	Trial     5	A1	0:16:00-0:17:00	In Arena	5.93465	334	14.88	9	1.72	54	31.52	87.3191	19.7753	2182.98	3	6
High	Trial     5	A1	0:17:00-0:18:00	In Arena	7.91606	429	20.36	19	3.52	54	22.12	82.1771	12.1981	2054.43	3	5
High	Trial     5	A1	0:18:00-0:19:00	In Arena	8.93966	540	24.28	17	3.24	40	14.92	72.6114	9.51081	1815.29	5	1
High	Trial     5	A1	0:19:00-0:20:00	In Arena	8.86126	547	24.32	11	2.64	65	15.16	73.0916	5.22124	1827.29	5	7
High	Trial     5	A1	0:20:00-0:21:00	In Arena	3.81454	171	7.88	4	1.12	27	45.68	96.5695	36.0903	2414.24	2	6
High	Trial     5	A1	0:21:00-0:22:00	In Arena	1.63092	51	2.48	3	0.48	14	55.6	117.935	50.4565	2948.38	5	2
High	Trial     5	A1	0:22:00-0:23:00	In Arena	1.41792	20	1.56	5	0.84	5	57.72	115.051	61.9186	2876.27	1	3
High	Trial     5	A1	0:23:00-0:24:00	In Arena	1.19409	8	1.04	2	0.72	4	58.6	116.373	58.3663	2909.33	1	0
High	Trial     5	A1	0:24:00-0:25:00	In Arena	1.14583	16	1	2	0.4	3	58.36	115.847	59.8365	2896.18	0	2
High	Trial     5	A1	0:25:00-0:26:00	In Arena	1.1484	13	0.84	1	0.36	4	58.64	113.516	56.4906	2837.89	2	0
High	Trial     5	A1	0:26:00-0:27:00	In Arena	2.07207	32	2.36	4	1.12	10	43.8	111.436	54.617	2785.89	5	0
High	Trial     5	A1	0:27:00-0:28:00	In Arena	0.737128	7	0.44	1	0.2	2	59.32	119.756	70.5418	2993.9	1	0
High	Trial     5	A1	0:28:00-0:29:00	In Arena	1.21746	9	0.96	2	0.64	3	58.68	116.526	65.1356	2913.16	1	0
High	Trial     5	A1	0:29:00-0:30:00	In Arena	0.812268	6	0.32	1	0.08	3	59.48	117.796	59.2881	2944.89	1	0
High	Trial     5	A1	0:30:00-0:31:00	In Arena	9.16133	237	13.4	16	4.28	21	20.08	82.5924	15.5334	2064.81	5	4
High	Trial     5	A1	0:31:00-0:32:00	In Arena	7.64741	349	17.28	20	3.76	48	28.12	87.5271	17.6322	2188.18	8	13
High	Trial     5	A1	0:32:00-0:33:00	In Arena	9.00198	462	21.44	26	3.36	23	20.36	79.3145	14.0692	1982.86	0	3
High	Trial     5	A1	0:33:00-0:34:00	In Arena	6.68037	362	16.32	11	2.12	38	30.24	92.6928	19.9839	2317.32	10	9
High	Trial     5	A1	0:34:00-0:35:00	In Arena	6.20364	340	15	11	1.6	38	32.24	93.0795	28.75	2326.99	7	8
High	Trial     5	A1	0:35:00-0:36:00	In Arena	1.36713	49	1.96	1	0.04	11	56.32	111.451	60.2036	2786.29	0	1
High	Trial     5	A1	0:36:00-0:37:00	In Arena	1.28446	22	1.32	3	0.52	6	57.96	115.828	59.0049	2895.7	2	2
High	Trial     5	A1	0:37:00-0:38:00	In Arena	1.49754	35	1.92	3	0.6	7	56.72	110.834	54.5436	2770.84	0	0
High	Trial     5	A1	0:38:00-0:39:00	In Arena	2.59455	58	3.68	7	1.6	13	54.24	103.485	47.2213	2587.12	3	1
High	Trial     5	A1	0:39:00-0:40:00	In Arena	1.29563	17	1	3	0.4	5	58.36	114.942	50.6577	2873.56	1	0
High	Trial     5	A1	0:40:00-0:41:00	In Arena	2.19522	28	2.04	5	0.72	8	21.68	107.458	62.6811	2686.46	2	0
High	Trial     5	A1	0:41:00-0:42:00	In Arena	0.927287	3	0.36	1	0.24	2	59.52	120.231	66.4198	3005.77	0	0
High	Trial     5	A1	0:42:00-0:43:00	In Arena	1.18922	12	0.88	1	0.4	3	58.72	114.815	54.6218	2870.38	0	0
High	Trial     5	A1	0:43:00-0:44:00	In Arena	0.728057	0	0	0	0	1	60	119.771	68.0368	2994.28	0	0
High	Trial     5	A1	0:44:00-0:45:00	In Arena	1.80973	3	0.4	1	0.28	2	21.52	118.003	35.0378	2950.09	2	2
High	Trial     5	C1	Start-0:01:00	In Arena	0.823809	0	0	0	0	1	59.88	122.163	51.1215	3054.07	0	0
High	Trial     5	C1	0:01:00-0:02:00	In Arena	1.0472	6	0.24	0	0	2	59.52	121.053	47.2185	3026.33	0	0
High	Trial     5	C1	0:02:00-0:03:00	In Arena	1.3346	0	0	0	0	1	60	119.402	39.671	2985.05	0	0
High	Trial     5	C1	0:03:00-0:04:00	In Arena	1.26898	4	0.44	1	0.28	2	59.44	120.957	44.3014	3023.93	1	0
High	Trial     5	C1	0:04:00-0:05:00	In Arena	0.606922	0	0	0	0	1	60	125.446	58.5263	3136.15	0	0
High	Trial     5	C1	0:05:00-0:06:00	In Arena	1.84932	20	2.24	5	1.6	5	57	118.091	56.2748	2952.27	1	1
High	Trial     5	C1	0:06:00-0:07:00	In Arena	0.746668	0	0	0	0	1	60	119.81	53.639	2995.25	0	0
High	Trial     5	C1	0:07:00-0:08:00	In Arena	1.23457	3	0.96	1	0.88	2	58.96	118.278	54.6149	2956.96	0	0
High	Trial     5	C1	0:08:00-0:09:00	In Arena	1.63085	24	1.84	4	1	6	57.24	117.139	53.1908	2928.47	3	1
High	Trial     5	C1	0:09:00-0:10:00	In Arena	1.69273	24	2.12	3	1.2	9	57.12	115.16	54.744	2878.99	3	2
High	Trial     5	C1	0:10:00-0:11:00	In Arena	0.773852	0	0	0	0	1	60	122.789	51.4225	3069.72	1	0
High	Trial     5	C1	0:11:00-0:12:00	In Arena	1.48264	27	1.84	2	0.84	12	57.36	119.696	57.8642	2992.4	0	1
High	Trial     5	C1	0:12:00-0:13:00	In Arena	2.80481	113	5.64	6	1.28	14	50.16	105.01	43.0695	2625.25	3	1
High	Trial     5	C1	0:13:00-0:14:00	In Arena	3.60911	55	5.84	14	3.96	10	52.2	105.886	47.2809	2647.15	2	0
High	Trial     5	C1	0:14:00-0:15:00	In Arena	3.79665	80	5.96	9	3	18	51.2	107.257	43.9144	2681.41	2	2
High	Trial     5	C1	0:15:00-0:16:00	In Arena	11.4503	571	28.2	23	6	43	9.88	59.7637	5.11659	1494.09	5	2
High	Trial     5	C1	0:16:00-0:17:00	In Arena	10.803	237	13.08	16	4.08	27	12.08	76.4996	11.9189	1912.49	7	5
High	Trial     5	C1	0:17:00-0:18:00	In Arena	10.2725	572	27.04	25	4.52	60	11.44	66.6359	4.09705	1665.9	2	6
High	Trial     5	C1	0:18:00-0:19:00	In Arena	8.5706	509	23.28	14	3.16	62	17.96	66.8001	5.88578	1670	1	10
High	Trial     5	C1	0:19:00-0:20:00	In Arena	8.58703	522	23.48	12	2.8	62	17.2	64.8556	9.18459	1621.39	7	3
High	Trial     5	C1	0:20:00-0:21:00	In Arena	3.12151	162	7.12	6	0.8	27	46.92	106.122	40.965	2653.06	2	3
High	Trial     5	C1	0:21:00-0:22:00	In Arena	0.822334	10	0.4	0	0	2	59.24	121.315	64.0824	3032.86	0	0
High	Trial     5	C1	0:22:00-0:23:00	In Arena	1.55191	32	1.76	3	0.56	11	57.2	118.918	54.115	2972.94	4	1
High	Trial     5	C1	0:23:00-0:24:00	In Arena	1.87187	25	1.8	3	0.88	12	55.2	117.624	42.1289	2940.61	0	0
High	Trial     5	C1	0:24:00-0:25:00	In Arena	1.47364	51	2.36	3	0.4	11	55.88	119.548	58.0642	2988.69	1	4
High	Trial     5	C1	0:25:00-0:26:00	In Arena	2.01435	48	2.88	4	1.04	12	52.28	113.355	57.1926	2833.88	3	1
High	Trial     5	C1	0:28:00-0:29:00	In Arena	1.54872	27	1.36	2	0.28	6	35.04	112.621	56.741	2815.52	2	0
High	Trial     5	C1	0:29:00-0:30:00	In Arena	1.32421	20	1	4	0.28	7	58.32	119.894	49.253	2997.36	0	0
High	Trial     5	C1	0:30:00-0:31:00	In Arena	10.0335	547	25.56	21	4.28	51	13.48	72.6504	7.93934	1816.26	9	10
High	Trial     5	C1	0:31:00-0:32:00	In Arena	10.0933	558	26.52	18	4.56	46	12.2	72.3853	6.02631	1809.63	11	10
High	Trial     5	C1	0:32:00-0:33:00	In Arena	8.4482	559	24.12	15	2.2	63	14.84	67.6204	5.3812	1690.51	4	1
High	Trial     5	C1	0:33:00-0:34:00	In Arena	8.68481	527	24.08	20	3.32	58	15.6	67.635	6.54154	1690.87	5	4
High	Trial     5	C1	0:34:00-0:35:00	In Arena	9.29922	544	24.4	23	3	56	14.76	72.6872	6.77671	1817.18	2	2
High	Trial     5	C1	0:35:00-0:36:00	In Arena	4.26045	292	11.92	1	0.16	61	37.72	103.787	25.4203	2594.67	8	8
High	Trial     5	C1	0:36:00-0:37:00	In Arena	0.87829	12	0.48	0	0	2	59.08	117.752	62.8934	2943.8	1	0
High	Trial     5	C1	0:37:00-0:38:00	In Arena	1.23013	11	0.92	2	0.52	4	58.64	120.057	48.1113	3001.43	0	0
High	Trial     5	C1	0:38:00-0:39:00	In Arena	0.971508	9	0.52	1	0.16	2	59.12	121.086	45.3373	3027.16	0	0
High	Trial     5	C1	0:39:00-0:40:00	In Arena	4.32756	12	0.48	1	0.04	5	1.08	123.078	36.8808	3076.94	0	1
High	Trial     5	C4	Start-0:01:00	In Arena	2.68986	115	5.08	7	0.6	20	50.56	103.294	45.9489	2582.34	0	1
High	Trial     5	C4	0:01:00-0:02:00	In Arena	3.55928	137	6.84	13	1.56	26	48.24	100.5	43.7257	2512.51	1	1
High	Trial     5	C4	0:02:00-0:03:00	In Arena	2.97158	88	5.04	11	1.84	15	51.72	106.187	46.3441	2654.68	0	3
High	Trial     5	C4	0:03:00-0:04:00	In Arena	2.98035	114	5.64	14	1.4	17	50	95.1386	43.1791	2378.46	1	3
High	Trial     5	C4	0:04:00-0:05:00	In Arena	2.98132	105	5.48	12	1.68	16	50.72	104.626	40.6933	2615.65	4	2
High	Trial     5	C4	0:05:00-0:06:00	In Arena	2.99919	67	4.48	13	2.12	12	53.08	110.614	46.9461	2765.36	2	1
High	Trial     5	C4	0:06:00-0:07:00	In Arena	2.86681	93	4.56	7	1.04	29	49.76	102.115	38.3488	2552.86	2	3
High	Trial     5	C4	0:07:00-0:08:00	In Arena	2.52848	66	3.48	8	1	26	52.6	112.912	35.0744	2822.79	3	7
High	Trial     5	C4	0:08:00-0:09:00	In Arena	3.96629	148	8	12	2.28	20	46.64	102.878	41.62	2571.94	5	2
High	Trial     5	C4	0:09:00-0:10:00	In Arena	2.99319	93	5.48	12	2.04	17	51.12	107.399	46.6575	2684.97	6	6
High	Trial     5	C4	0:10:00-0:11:00	In Arena	3.17106	154	7.2	7	1.2	23	47.12	103.321	36.7629	2583.02	6	2
High	Trial     5	C4	0:11:00-0:12:00	In Arena	3.32982	92	5.76	7	2.32	15	50.8	106.956	52.2909	2673.9	4	2
High	Trial     5	C4	0:12:00-0:13:00	In Arena	4.19435	144	7.6	15	2.16	28	47.32	102.945	35.2796	2573.63	4	3
High	Trial     5	C4	0:13:00-0:14:00	In Arena	4.56468	175	9.04	14	2.28	31	44.8	98.0301	34.7826	2450.75	6	2
High	Trial     5	C4	0:14:00-0:15:00	In Arena	3.01536	90	5.48	10	2.12	17	51.36	105.258	43.7514	2631.45	1	1
High	Trial     5	C4	0:15:00-0:16:00	In Arena	12.5847	601	28.04	18	4.28	30	8.32	57.8605	4.18725	1446.51	4	4
High	Trial     5	C4	0:16:00-0:17:00	In Arena	7.00602	521	21.6	5	0.8	77	19.6	62.3866	4.72989	1559.66	1	3
High	Trial     5	C4	0:17:00-0:18:00	In Arena	7.30982	502	21.56	6	1.52	82	19.92	63.4649	4.3207	1586.62	6	3
High	Trial     5	C4	0:18:00-0:19:00	In Arena	8.05554	569	24.12	10	1.6	78	14.88	58.4102	4.02104	1460.25	2	5
High	Trial     5	C4	0:19:00-0:20:00	In Arena	8.48896	540	24.44	15	3.16	62	15.08	65.7928	5.25974	1644.82	6	1
High	Trial     5	C4	0:20:00-0:21:00	In Arena	4.84713	274	11.44	5	0.68	60	38.6	88.3983	19.3689	2209.96	5	2
High	Trial     5	C4	0:21:00-0:22:00	In Arena	2.83121	137	5.72	2	0.28	26	49.4	107.898	41.5053	2697.46	5	2
High	Trial     5	C4	0:22:00-0:23:00	In Arena	2.15338	86	3.96	4	0.64	18	52.76	106.478	51.3603	2661.94	2	3
High	Trial     5	C4	0:23:00-0:24:00	In Arena	3.12343	107	5.48	11	1.52	19	50.6	100.489	46.1675	2512.21	1	5
High	Trial     5	C4	0:24:00-0:25:00	In Arena	3.75158	137	6.72	9	1.52	33	44.48	99.8895	44.5343	2497.24	2	2
High	Trial     5	C4	0:25:00-0:26:00	In Arena	2.7604	93	4.36	5	0.76	20	52.28	104.823	41.8863	2620.57	7	9
High	Trial     5	C4	0:26:00-0:27:00	In Arena	3.15788	101	5.32	10	1.52	16	50.92	105.339	45.3866	2633.47	6	3
High	Trial     5	C4	0:27:00-0:28:00	In Arena	3.77972	101	6.48	15	2.72	22	50.12	105.048	38.5473	2626.19	0	11
High	Trial     5	C4	0:28:00-0:29:00	In Arena	2.82995	69	4.4	9	1.84	12	53.04	106.286	47.3382	2657.15	1	1
High	Trial     5	C4	0:29:00-0:30:00	In Arena	2.46462	59	3.52	8	1.32	10	54.36	107.877	47.8047	2696.92	1	1
High	Trial     5	C4	0:30:00-0:31:00	In Arena	9.65689	521	23.88	18	3.52	40	15.76	58.5233	7.93672	1463.08	9	4
High	Trial     5	C4	0:31:00-0:32:00	In Arena	8.07934	574	24.32	9	1.56	58	13.92	63.8917	4.15911	1597.29	3	1
High	Trial     5	C4	0:32:00-0:33:00	In Arena	8.24755	596	25.24	8	1.64	52	11.96	55.255	3.66945	1381.37	2	0
High	Trial     5	C4	0:33:00-0:34:00	In Arena	7.50921	615	24.92	2	0.4	59	11.56	56.7246	4.01081	1418.12	1	3
High	Trial     5	C4	0:34:00-0:35:00	In Arena	7.74986	608	25.64	7	1.44	80	11.72	51.6496	2.91375	1291.24	1	0
High	Trial     5	C4	0:35:00-0:36:00	In Arena	4.33308	253	10.36	2	0.24	55	37	93.1057	22.5509	2327.64	13	4
High	Trial     5	C4	0:36:00-0:37:00	In Arena	2.89292	136	5.64	1	0.24	32	49.28	109.425	40.3248	2735.61	7	6
High	Trial     5	C4	0:37:00-0:38:00	In Arena	2.255	77	3.88	5	0.88	20	52.36	111.403	47.8433	2785.07	1	5
High	Trial     5	C4	0:38:00-0:39:00	In Arena	2.08747	46	2.88	4	1.08	10	55.48	108.414	50.8871	2710.36	1	1
High	Trial     5	C4	0:39:00-0:40:00	In Arena	2.0851	66	3.16	8	0.72	11	54.36	110.826	50.3602	2770.66	2	1
High	Trial     5	C4	0:40:00-0:41:00	In Arena	2.50148	77	4.04	9	1.16	11	53.08	106.037	50.458	2650.93	0	3
High	Trial     5	C4	0:41:00-0:42:00	In Arena	2.59129	58	3.6	8	1.44	13	54.48	111.102	44.9206	2777.55	6	4
High	Trial     5	C4	0:42:00-0:43:00	In Arena	2.4669	50	3.52	6	1.6	9	54.6	110.044	48.9924	2751.1	0	5
High	Trial     5	C4	0:43:00-0:44:00	In Arena	2.31965	57	3.36	9	1.32	9	54.6	111.274	51.3317	2781.84	1	2
High	Trial     5	C4	0:44:00-0:45:00	In Arena	2.78142	45	3.88	10	2.28	9	54.6	108.227	45.2831	2705.67	1	3
High	Trial     6	A4	Start-0:01:00	In Arena	1.45984	30	1.92	4	0.76	6	56.92	115.648	56.9645	2891.19	1	0
High	Trial     6	A4	0:01:00-0:02:00	In Arena	0.675165	4	0.24	1	0.12	2	59.6	119.708	70.8433	2992.69	0	0
High	Trial     6	A4	0:02:00-0:03:00	In Arena	0.896293	15	0.6	0	0	3	58.8	119.045	65.651	2976.12	2	0
High	Trial     6	A4	0:03:00-0:04:00	In Arena	2.29221	47	2.84	4	1.08	11	55.48	114.055	45.6277	2851.37	3	2
High	Trial     6	A4	0:04:00-0:05:00	In Arena	2.9741	88	4.96	6	1.52	25	52.24	110.842	43.8577	2771.05	5	6
High	Trial     6	A4	0:05:00-0:06:00	In Arena	1.59525	28	1.88	4	0.88	9	57.16	116.791	57.0098	2919.78	2	1
High	Trial     6	A4	0:06:00-0:07:00	In Arena	1.49773	42	2.12	3	0.44	9	56.36	116.805	55.9753	2920.13	4	0
High	Trial     6	A4	0:07:00-0:08:00	In Arena	1.1343	17	1.2	2	0.56	5	58.2	117.949	61.4209	2948.72	0	1
High	Trial     6	A4	0:08:00-0:09:00	In Arena	0.641308	0	0	0	0	1	60	119.555	66.82	2988.88	0	0
High	Trial     6	A4	0:09:00-0:10:00	In Arena	0.902091	7	0.52	3	0.28	2	59.2	120.852	66.8718	3021.3	0	0
High	Trial     6	A4	0:10:00-0:11:00	In Arena	1.08594	19	0.96	2	0.28	3	58.32	117.396	61.2484	2934.9	0	1
High	Trial     6	A4	0:11:00-0:12:00	In Arena	1.3575	0	0	0	0	1	60	119.069	37.2461	2976.72	0	0
High	Trial     6	A4	0:12:00-0:13:00	In Arena	1.34067	0	0	0	0	1	60	120.755	35.9137	3018.87	0	0
High	Trial     6	A4	0:13:00-0:14:00	In Arena	1.5853	4	0.52	2	0.44	2	59.36	119.597	36.02	2989.92	0	0
High	Trial     6	A4	0:14:00-0:15:00	In Arena	0.650739	0	0	0	0	2	59.92	120.187	68.6763	3004.67	0	0
High	Trial     6	A4	0:15:00-0:16:00	In Arena	11.5245	517	27.16	31	7.04	40	13.2	71.0715	7.79507	1776.79	4	5
High	Trial     6	A4	0:16:00-0:17:00	In Arena	7.4114	400	18.88	17	3.12	60	26.2	88.1568	16.6906	2203.92	13	12
High	Trial     6	A4	0:17:00-0:18:00	In Arena	8.5839	503	22.84	20	3.24	58	18.44	70.2159	9.18934	1755.4	5	8
High	Trial     6	A4	0:18:00-0:19:00	In Arena	10.0535	594	26.2	17	2.84	42	10.72	61.4088	6.36637	1535.22	0	6
High	Trial     6	A4	0:19:00-0:20:00	In Arena	11.7441	631	28.96	23	4.16	22	6.2	56.3402	4.16851	1408.51	3	1
High	Trial     6	A4	0:20:00-0:21:00	In Arena	1.91256	90	3.64	3	0.16	11	53.04	101.393	55.5668	2534.82	3	2
High	Trial     6	A4	0:21:00-0:22:00	In Arena	1.11798	29	1.32	2	0.2	5	57.6	115.845	61.4092	2896.12	1	1
High	Trial     6	A4	0:22:00-0:23:00	In Arena	0.984817	16	0.88	1	0.24	5	58.56	121.287	60.365	3032.18	2	0
High	Trial     6	A4	0:23:00-0:24:00	In Arena	0.690421	0	0	0	0	2	59.96	119.47	60.6767	2986.76	0	0
High	Trial     6	A4	0:24:00-0:25:00	In Arena	0.68749	0	0	0	0	1	60	119.792	61.079	2994.79	0	0
High	Trial     6	A4	0:25:00-0:26:00	In Arena	0.655792	0	0	0	0	1	60	118.896	60.9448	2972.4	0	0
High	Trial     6	A4	0:26:00-0:27:00	In Arena	0.982715	12	0.8	2	0.32	4	58.72	118.202	62.3718	2955.06	0	1
High	Trial     6	A4	0:27:00-0:28:00	In Arena	1.02867	3	0.56	1	0.44	2	59.36	118.483	54.5662	2962.06	0	0
High	Trial     6	A4	0:28:00-0:29:00	In Arena	0.77244	0	0	0	0	1	60	121.347	55.8821	3033.68	0	0
High	Trial     6	A4	0:29:00-0:30:00	In Arena	0.78573	0	0	0	0	1	60	118.212	51.9191	2955.31	0	0
High	Trial     6	A4	0:30:00-0:31:00	In Arena	11.212	489	25.56	23	6.48	46	15.84	76.184	10.7137	1904.6	3	5
High	Trial     6	A4	0:31:00-0:32:00	In Arena	9.68661	543	25.16	24	3.96	40	13.92	68.2418	9.10363	1706.05	3	7
High	Trial     6	A4	0:32:00-0:33:00	In Arena	10.2506	575	25.84	22	3.24	31	11.72	67.4382	8.05119	1685.95	3	3
High	Trial     6	A4	0:33:00-0:34:00	In Arena	13.5118	623	31.08	38	6.84	12	4.32	49.876	2.56264	1246.9	1	4
High	Trial     6	A4	0:34:00-0:35:00	In Arena	11.9742	589	28.52	37	5.84	21	8.32	58.9798	4.48132	1474.49	2	8
High	Trial     6	A4	0:35:00-0:36:00	In Arena	3.18115	132	6.08	6	0.92	26	49.32	105.751	38.0556	2643.79	2	7
High	Trial     6	A4	0:36:00-0:37:00	In Arena	2.37527	57	3.04	5	0.84	11	54.88	114.836	46.1932	2870.91	9	2
High	Trial     6	A4	0:37:00-0:38:00	In Arena	1.90792	50	2.56	2	0.6	13	55.72	116.462	46.3865	2911.54	5	3
High	Trial     6	A4	0:38:00-0:39:00	In Arena	0.607337	0	0	0	0	1	60	119.203	68.4441	2980.08	0	0
High	Trial     6	A4	0:39:00-0:40:00	In Arena	1.18938	11	1	2	0.56	4	58.64	115.813	63.7197	2895.34	0	0
High	Trial     6	A4	0:40:00-0:41:00	In Arena	3.12939	81	5.72	7	2.6	15	51.32	107.328	49.6588	2683.21	6	6
High	Trial     6	A4	0:41:00-0:42:00	In Arena	1.99419	52	2.92	5	0.92	13	55.28	110.148	49.4798	2753.71	0	3
High	Trial     6	A4	0:42:00-0:43:00	In Arena	1.32218	18	1.28	3	0.6	3	58.04	119.323	55.882	2983.07	0	1
High	Trial     6	A4	0:43:00-0:44:00	In Arena	2.22469	85	4.04	6	0.8	16	41.32	113.984	50.0544	2849.59	6	3
High	Trial     6	A4	0:44:00-0:45:00	In Arena	0.611013	0	0	0	0	0	0	119.608	67.0203	2990.19	0	0
High	Trial     6	B2	Start-0:01:00	In Arena	1.26899	24	1.28	2	0.4	4	57.76	114.369	50.3063	2859.24	1	1
High	Trial     6	B2	0:01:00-0:02:00	In Arena	0.988657	17	0.84	2	0.2	5	58.6	117.013	57.4676	2925.34	1	0
High	Trial     6	B2	0:02:00-0:03:00	In Arena	1.61211	33	2.16	4	0.96	10	56.76	115.908	56.4856	2897.69	1	1
High	Trial     6	B2	0:03:00-0:04:00	In Arena	0.663822	0	0	0	0	1	60	121.222	64.3669	3030.54	0	0
High	Trial     6	B2	0:04:00-0:05:00	In Arena	0.611661	0	0	0	0	1	60	117.875	65.6275	2946.89	0	0
High	Trial     6	B2	0:05:00-0:06:00	In Arena	0.610935	0	0	0	0	1	60	118.551	67.9753	2963.77	0	0
High	Trial     6	B2	0:06:00-0:07:00	In Arena	0.917431	5	0.36	1	0.2	2	59.44	118.671	55.909	2966.78	0	0
High	Trial     6	B2	0:07:00-0:08:00	In Arena	1.01054	10	0.6	1	0.2	6	59.08	120.079	54.5649	3001.99	0	1
High	Trial     6	B2	0:08:00-0:09:00	In Arena	0.750367	0	0	0	0	1	60	121.675	60.0542	3041.87	0	0
High	Trial     6	B2	0:09:00-0:10:00	In Arena	0.763662	0	0	0	0	1	60	120.351	51.0668	3008.78	0	0
High	Trial     6	B2	0:10:00-0:11:00	In Arena	0.760613	0	0	0	0	1	60	119.063	50.4595	2976.57	0	0
High	Trial     6	B2	0:11:00-0:12:00	In Arena	0.968205	7	0.36	1	0.08	3	59.44	120.174	58.7158	3004.36	2	1
High	Trial     6	B2	0:12:00-0:13:00	In Arena	1.85178	52	2.72	4	0.72	10	55.36	111.193	50.3427	2779.83	1	3
High	Trial     6	B2	0:13:00-0:14:00	In Arena	1.32674	22	1.4	2	0.6	9	57.8	117.454	60.3731	2936.36	4	0
High	Trial     6	B2	0:14:00-0:15:00	In Arena	2.51071	79	3.6	1	0.44	45	54.28	119.905	42.8313	2997.63	12	15
High	Trial     6	B2	0:15:00-0:16:00	In Arena	12.4886	544	28.76	37	7.84	38	10.2	62.7463	5.56019	1568.66	5	11
High	Trial     6	B2	0:16:00-0:17:00	In Arena	10.6267	568	27.2	25	5.12	42	11.16	64.2518	5.41032	1606.29	12	7
